driverId,eventTime,eventType
13,59:44.8,Normal
29,59:44.8,Normal
18,59:45.0,Normal
28,59:45.3,Normal
30,59:45.4,Normal
11,59:45.5,Normal
23,59:45.7,Normal
15,59:45.8,Normal
16,59:45.8,Normal
17,59:46.0,Normal
10,59:46.0,Normal
23,59:46.4,Normal
13,59:46.6,Normal
12,59:46.7,Normal
19,59:46.7,Normal
10,59:46.9,Overspeed
11,59:47.3,Unsafe tail distance
23,59:47.3,Normal
21,59:47.5,Normal
26,59:47.6,Normal
17,59:47.7,Normal
25,59:48.0,Normal
16,59:48.2,Normal
11,59:48.2,Normal
22,59:48.4,Normal
10,59:48.5,Normal
17,59:48.7,Normal
18,59:48.8,Normal
32,59:49.0,Normal
31,59:49.0,Normal
21,59:49.2,Normal
26,59:49.3,Normal
18,59:49.6,Normal
24,59:49.9,Normal
25,59:49.9,Normal
15,59:50.0,Normal
10,59:50.1,Normal
26,59:50.2,Normal
25,59:50.7,Normal
24,59:50.7,Normal
21,59:50.8,Normal
27,59:50.9,Normal
26,59:50.9,Normal
32,59:51.4,Normal
24,59:51.5,Normal
12,59:51.6,Normal
28,59:51.6,Normal
27,59:51.8,Normal
31,59:51.9,Normal
19,59:52.3,Normal
30,59:52.4,Normal
21,59:52.5,Normal
26,59:52.7,Normal
29,59:52.7,Normal
17,59:52.8,Normal
24,59:53.0,Normal
14,59:53.3,Normal
12,59:53.4,Normal
27,59:53.8,Normal
17,59:53.8,Normal
31,59:53.8,Normal
14,59:54.0,Normal
25,59:54.2,Normal
13,59:54.2,Normal
26,59:54.4,Normal
27,59:54.9,Normal
22,59:54.9,Normal
30,59:55.0,Normal
23,59:55.0,Normal
26,59:55.2,Normal
10,59:55.2,Normal
24,59:55.7,Normal
28,59:55.7,Normal
32,59:55.8,Normal
18,59:56.0,Normal
26,59:56.1,Normal
10,59:56.2,Normal
22,59:56.5,Normal
32,59:56.7,Normal
19,59:56.7,Normal
21,59:56.9,Normal
10,59:57.1,Normal
11,59:57.3,Normal
20,59:57.4,Normal
14,59:57.5,Normal
26,59:57.6,Normal
21,59:57.7,Normal
16,59:57.8,Normal
20,59:58.2,Normal
17,59:58.3,Normal
28,59:58.4,Normal
27,59:58.4,Normal
21,59:58.7,Normal
15,59:59.1,Normal
14,59:59.2,Normal
22,59:59.2,Normal
26,59:59.3,Normal
30,59:59.4,Normal
21,59:59.5,Normal
16,59:59.6,Normal
15,00:00.0,Normal
28,00:00.1,Normal
30,00:00.3,Normal
19,00:00.4,Normal
25,00:00.4,Normal
29,00:00.8,Normal
11,00:00.8,Normal
32,00:01.0,Normal
20,00:01.1,Normal
23,00:01.2,Normal
19,00:01.3,Normal
10,00:01.5,Normal
11,00:01.8,Normal
23,00:02.0,Normal
21,00:02.0,Normal
19,00:02.3,Normal
25,00:02.4,Normal
17,00:02.6,Normal
31,00:02.8,Normal
23,00:02.8,Normal
18,00:02.9,Normal
19,00:03.1,Normal
25,00:03.3,Normal
17,00:03.6,Normal
31,00:03.7,Normal
30,00:03.8,Normal
21,00:03.9,Normal
26,00:03.9,Normal
29,00:04.2,Normal
28,00:04.4,Normal
14,00:04.6,Normal
11,00:04.6,Normal
21,00:04.7,Normal
26,00:04.8,Normal
29,00:05.0,Normal
31,00:05.4,Normal
11,00:05.4,Unsafe following distance
23,00:05.5,Normal
12,00:05.6,Normal
28,00:05.9,Normal
29,00:05.9,Normal
15,00:06.2,Normal
22,00:06.4,Normal
23,00:06.5,Normal
16,00:06.5,Normal
32,00:07.0,Normal
31,00:07.0,Normal
14,00:07.2,Normal
22,00:07.3,Normal
27,00:07.4,Normal
28,00:07.6,Normal
29,00:07.7,Normal
32,00:08.0,Normal
22,00:08.1,Normal
11,00:08.1,Normal
16,00:08.2,Normal
24,00:08.7,Normal
32,00:08.8,Normal
20,00:08.9,Normal
25,00:08.9,Normal
11,00:09.0,Normal
27,00:09.0,Normal
10,00:09.5,Normal
22,00:09.6,Normal
15,00:09.7,Normal
25,00:09.8,Normal
30,00:09.9,Normal
17,00:10.1,Normal
10,00:10.5,Normal
31,00:10.6,Normal
27,00:10.6,Normal
15,00:10.6,Normal
26,00:10.7,Normal
23,00:10.8,Normal
24,00:11.2,Normal
32,00:11.4,Normal
30,00:11.5,Normal
11,00:11.6,Normal
12,00:12.1,Normal
28,00:12.1,Normal
10,00:12.2,Normal
31,00:12.3,Normal
27,00:12.3,Normal
26,00:12.5,Normal
14,00:12.7,Normal
24,00:13.0,Normal
32,00:13.1,Normal
31,00:13.1,Normal
18,00:13.3,Normal
16,00:13.4,Normal
19,00:13.7,Normal
22,00:13.9,Normal
10,00:14.0,Normal
11,00:14.1,Lane Departure
25,00:14.1,Normal
14,00:14.6,Normal
28,00:14.6,Normal
22,00:14.7,Normal
10,00:15.0,Normal
20,00:15.0,Normal
27,00:15.0,Normal
21,00:15.2,Normal
24,00:15.6,Normal
27,00:15.8,Normal
15,00:15.8,Normal
18,00:15.9,Normal
11,00:16.0,Normal
21,00:16.1,Normal
24,00:16.5,Normal
31,00:16.6,Normal
27,00:16.7,Normal
18,00:16.7,Normal
12,00:16.9,Normal
13,00:17.0,Normal
19,00:17.4,Normal
32,00:17.4,Normal
25,00:17.6,Normal
15,00:17.7,Normal
30,00:17.8,Normal
13,00:18.0,Normal
25,00:18.4,Normal
20,00:18.5,Normal
23,00:18.5,Normal
21,00:18.7,Normal
13,00:18.8,Normal
22,00:19.1,Normal
10,00:19.2,Normal
31,00:19.3,Normal
30,00:19.4,Normal
12,00:19.6,Normal
17,00:19.9,Normal
28,00:19.9,Normal
10,00:20.1,Normal
20,00:20.3,Normal
30,00:20.3,Normal
16,00:20.4,Normal
26,00:20.6,Normal
19,00:20.8,Normal
32,00:21.0,Normal
10,00:21.1,Normal
13,00:21.4,Normal
26,00:21.5,Normal
12,00:21.5,Normal
25,00:21.9,Normal
15,00:21.9,Normal
23,00:21.9,Normal
20,00:22.1,Normal
26,00:22.4,Normal
12,00:22.4,Normal
15,00:22.7,Normal
29,00:22.7,Normal
27,00:22.8,Normal
11,00:23.1,Unsafe tail distance
12,00:23.3,Normal
17,00:23.4,Normal
27,00:23.6,Normal
32,00:23.6,Normal
31,00:23.6,Normal
11,00:23.9,Normal
16,00:24.0,Normal
23,00:24.4,Normal
31,00:24.5,Normal
32,00:24.6,Normal
30,00:24.8,Normal
11,00:24.9,Normal
19,00:24.9,Normal
23,00:25.4,Normal
13,00:25.4,Normal
25,00:25.5,Normal
24,00:25.5,Normal
16,00:25.6,Normal
26,00:26.0,Normal
22,00:26.1,Normal
27,00:26.2,Normal
25,00:26.3,Normal
30,00:26.7,Normal
17,00:26.7,Normal
26,00:26.9,Normal
31,00:27.0,Normal
18,00:27.1,Normal
14,00:27.3,Normal
17,00:27.5,Normal
16,00:27.6,Normal
26,00:27.8,Normal
27,00:27.9,Normal
23,00:28.1,Normal
28,00:28.3,Normal
30,00:28.4,Normal
11,00:28.4,Normal
29,00:28.8,Normal
31,00:28.8,Normal
23,00:29.0,Normal
17,00:29.2,Normal
30,00:29.3,Normal
22,00:29.4,Normal
18,00:29.5,Normal
13,00:29.6,Normal
10,00:29.9,Normal
24,00:30.0,Normal
27,00:30.3,Normal
26,00:30.3,Normal
29,00:30.6,Normal
28,00:30.7,Normal
14,00:30.7,Normal
27,00:31.1,Normal
22,00:31.1,Normal
15,00:31.1,Normal
12,00:31.3,Normal
17,00:31.6,Normal
30,00:31.7,Normal
10,00:31.8,Normal
11,00:32.0,Unsafe tail distance
31,00:32.1,Normal
18,00:32.2,Normal
14,00:32.6,Normal
28,00:32.6,Normal
27,00:32.7,Normal
22,00:32.8,Normal
15,00:32.9,Normal
18,00:33.1,Normal
30,00:33.4,Normal
17,00:33.4,Normal
27,00:33.6,Normal
19,00:33.7,Normal
26,00:33.9,Normal
18,00:33.9,Normal
20,00:34.4,Normal
32,00:34.5,Normal
16,00:34.7,Normal
11,00:34.7,Normal
12,00:34.9,Normal
21,00:34.9,Normal
22,00:35.3,Normal
20,00:35.3,Normal
25,00:35.6,Normal
18,00:35.6,Normal
15,00:35.7,Normal
17,00:36.0,Normal
27,00:36.1,Normal
12,00:36.4,Normal
25,00:36.4,Normal
15,00:36.5,Normal
17,00:36.7,Normal
27,00:37.0,Normal
14,00:37.1,Normal
28,00:37.2,Normal
18,00:37.3,Normal
11,00:37.4,Normal
15,00:37.4,Normal
27,00:37.9,Normal
13,00:38.0,Normal
30,00:38.0,Normal
25,00:38.3,Normal
19,00:38.3,Normal
20,00:38.7,Normal
14,00:38.9,Normal
30,00:38.9,Normal
26,00:39.0,Normal
18,00:39.0,Normal
17,00:39.3,Normal
11,00:39.3,Normal
30,00:39.7,Normal
18,00:39.8,Normal
28,00:39.9,Normal
12,00:39.9,Normal
17,00:40.2,Normal
10,00:40.6,Normal
27,00:40.6,Normal
28,00:40.7,Normal
31,00:40.9,Normal
25,00:40.9,Normal
20,00:41.2,Normal
24,00:41.4,Normal
32,00:41.5,Normal
12,00:41.5,Normal
19,00:41.7,Normal
25,00:41.9,Normal
20,00:41.9,Normal
27,00:42.4,Normal
32,00:42.4,Normal
31,00:42.5,Normal
25,00:42.7,Normal
20,00:42.7,Normal
14,00:43.2,Normal
31,00:43.2,Normal
18,00:43.3,Normal
15,00:43.4,Normal
26,00:43.4,Normal
23,00:43.5,Normal
16,00:43.8,Normal
28,00:44.2,Normal
29,00:44.2,Normal
13,00:44.3,Normal
23,00:44.3,Normal
11,00:44.6,Normal
27,00:44.7,Normal
12,00:45.0,Normal
31,00:45.0,Normal
20,00:45.2,Normal
25,00:45.3,Normal
18,00:45.7,Normal
10,00:45.7,Normal
22,00:45.7,Normal
13,00:46.0,Normal
23,00:46.0,Normal
15,00:46.0,Normal
16,00:46.5,Normal
14,00:46.7,Normal
13,00:46.7,Normal
31,00:46.8,Normal
23,00:46.9,Normal
26,00:47.0,Normal
16,00:47.2,Normal
28,00:47.5,Overspeed
10,00:47.6,Normal
19,00:47.6,Normal
21,00:47.7,Normal
26,00:47.8,Normal
16,00:48.0,Normal
28,00:48.5,Normal
29,00:48.6,Normal
24,00:48.6,Lane Departure
21,00:48.7,Normal
18,00:49.0,Normal
13,00:49.2,Normal
17,00:49.3,Normal
10,00:49.4,Normal
19,00:49.4,Normal
23,00:49.6,Normal
14,00:50.0,Normal
22,00:50.1,Normal
24,00:50.1,Normal
30,00:50.2,Normal
29,00:50.4,Normal
15,00:50.6,Normal
16,00:50.8,Normal
24,00:50.9,Normal
23,00:51.3,Normal
19,00:51.3,Normal
29,00:51.3,Normal
18,00:51.6,Normal
31,00:51.7,Normal
22,00:51.8,Normal
20,00:52.0,Normal
23,00:52.2,Normal
21,00:52.3,Normal
15,00:52.5,Normal
18,00:52.5,Normal
28,00:52.7,Normal
30,00:53.0,Normal
26,00:53.1,Normal
32,00:53.1,Normal
24,00:53.4,Normal
14,00:53.5,Normal
17,00:53.6,Normal
32,00:54.0,Normal
15,00:54.1,Normal
25,00:54.1,Normal
21,00:54.2,Normal
31,00:54.4,Normal
19,00:54.8,Normal
30,00:54.9,Normal
16,00:55.0,Normal
28,00:55.2,Normal
14,00:55.2,Normal
31,00:55.3,Normal
17,00:55.5,Normal
23,00:55.8,Normal
20,00:55.8,Normal
29,00:55.9,Normal
18,00:56.0,Normal
31,00:56.3,Normal
19,59:21.7,Normal
20,59:21.7,Normal
29,59:21.7,Normal
10,59:21.7,Normal
32,59:21.8,Normal
26,59:21.7,Normal
17,59:22.3,Normal
21,59:22.3,Normal
30,59:22.5,Normal
10,59:22.5,Normal
15,59:22.6,Normal
23,59:23.1,Normal
22,59:23.2,Normal
11,59:23.3,Normal
24,59:23.4,Normal
32,59:23.4,Normal
12,59:23.4,Normal
23,59:24.0,Normal
28,59:24.1,Normal
19,59:24.2,Normal
18,59:24.2,Normal
10,59:24.3,Normal
26,59:24.3,Normal
23,59:24.9,Normal
28,59:25.0,Normal
12,59:25.1,Normal
15,59:25.2,Normal
10,59:25.2,Normal
11,59:25.7,Normal
12,59:25.8,Normal
28,59:25.9,Normal
32,59:25.9,Normal
10,59:26.0,Normal
24,59:26.0,Normal
26,59:26.2,Normal
18,59:26.6,Normal
21,59:26.7,Normal
13,59:26.9,Normal
15,59:27.0,Normal
14,59:26.9,Normal
11,59:27.4,Normal
12,59:27.4,Normal
17,59:27.6,Normal
10,59:27.6,Normal
15,59:27.9,Normal
29,59:28.0,Normal
18,59:28.2,Normal
27,59:28.4,Normal
22,59:28.4,Normal
32,59:28.6,Normal
24,59:28.7,Normal
11,59:29.1,Overspeed
18,59:29.1,Normal
10,59:29.2,Normal
28,59:29.3,Normal
14,59:29.6,Normal
24,59:29.7,Normal
31,59:29.8,Normal
29,59:29.8,Normal
10,59:30.2,Normal
28,59:30.2,Normal
30,59:30.7,Normal
26,59:30.7,Normal
11,59:30.8,Normal
27,59:31.0,Normal
20,59:31.1,Normal
14,59:31.2,Normal
25,59:31.4,Normal
31,59:31.5,Normal
23,59:31.7,Normal
22,59:31.8,Normal
27,59:31.9,Normal
14,59:32.2,Normal
13,59:32.3,Normal
15,59:32.6,Normal
12,59:32.6,Normal
11,59:32.7,Normal
10,59:32.9,Normal
13,59:33.1,Normal
24,59:33.3,Normal
16,59:33.4,Normal
12,59:33.6,Normal
22,59:33.7,Normal
27,59:33.8,Normal
31,59:33.9,Normal
30,59:34.2,Normal
18,59:34.5,Normal
17,59:34.5,Normal
32,59:34.6,Normal
20,59:34.6,Normal
24,59:34.9,Normal
23,59:35.1,Normal
16,59:35.2,Normal
17,59:35.5,Normal
21,59:35.6,Normal
13,59:35.6,Normal
15,59:35.9,Normal
16,59:36.0,Normal
23,59:36.1,Normal
20,59:36.2,Normal
11,59:36.4,Normal
10,59:36.5,Normal
25,59:36.7,Normal
29,59:37.0,Normal
22,59:37.1,Normal
21,59:37.2,Normal
19,59:37.2,Normal
17,59:37.4,Normal
29,59:37.8,Normal
20,59:37.9,Normal
12,59:38.1,Normal
18,59:38.1,Normal
13,59:38.2,Normal
24,59:38.4,Normal
25,59:38.4,Normal
23,59:38.7,Normal
30,59:38.9,Normal
31,59:38.9,Normal
19,59:39.0,Normal
26,59:39.5,Normal
29,59:39.6,Normal
21,59:39.8,Normal
11,59:39.9,Normal
25,59:40.0,Normal
17,59:40.0,Normal
29,59:40.5,Normal
22,59:40.5,Normal
10,59:40.6,Normal
30,59:40.7,Normal
11,59:40.8,Normal
24,59:41.1,Normal
27,59:41.2,Normal
31,59:41.3,Normal
26,59:41.4,Normal
18,59:41.5,Normal
30,59:41.7,Normal
14,59:42.0,Normal
20,59:42.1,Normal
15,59:42.3,Normal
21,59:42.5,Normal
17,59:42.6,Normal
30,59:42.7,Normal
14,59:42.8,Normal
19,59:43.0,Normal
22,59:43.0,Normal
29,59:43.2,Normal
25,59:43.5,Normal
11,59:43.6,Normal
14,59:43.7,Normal
22,59:43.8,Normal
26,59:44.1,Normal
18,59:44.1,Normal
32,59:44.3,Normal
31,59:44.6,Normal
19,59:44.8,Normal
12,59:44.8,Normal
27,59:44.9,Normal
26,59:45.1,Normal
32,59:45.3,Normal
24,59:45.5,Normal
29,59:45.6,Normal
12,59:45.8,Normal
22,59:45.8,Normal
20,59:46.0,Normal
32,59:46.3,Normal
30,59:46.4,Normal
15,59:46.6,Normal
26,59:46.6,Normal
18,59:46.9,Normal
29,59:47.2,Normal
30,59:47.2,Normal
31,59:47.3,Normal
15,59:47.4,Normal
27,59:47.5,Normal
22,59:47.6,Normal
14,59:47.9,Normal
28,59:48.0,Normal
23,59:48.2,Normal
27,59:48.4,Normal
26,59:48.4,Normal
28,59:48.9,Normal
30,59:48.9,Normal
24,59:49.0,Normal
29,59:49.0,Normal
15,59:49.3,Normal
10,59:49.3,Normal
14,59:49.5,Normal
20,59:49.6,Normal
23,59:49.9,Normal
27,59:50.0,Normal
13,59:50.0,Normal
17,59:50.3,Normal
14,59:50.5,Normal
28,59:50.7,Normal
12,59:50.8,Normal
16,59:51.0,Normal
11,59:51.0,Normal
17,59:51.3,Normal
25,59:51.4,Normal
20,59:51.5,Normal
21,59:51.7,Normal
11,59:51.8,Normal
10,59:51.9,Normal
17,59:52.1,Normal
14,59:52.4,Normal
28,59:52.4,Normal
23,59:52.5,Normal
16,59:52.7,Normal
15,59:52.9,Normal
28,59:53.2,Normal
25,59:53.2,Normal
30,59:53.3,Normal
13,59:53.4,Normal
16,59:53.6,Normal
15,59:53.9,Normal
28,59:53.9,Normal
23,59:54.2,Normal
16,59:54.3,Normal
12,59:54.4,Normal
17,59:54.6,Normal
15,59:54.9,Normal
14,59:54.9,Normal
19,59:54.9,Normal
21,59:55.2,Normal
29,59:55.4,Normal
17,59:55.5,Normal
15,59:55.8,Normal
14,59:55.8,Normal
16,59:56.0,Normal
13,59:56.0,Normal
21,59:56.1,Normal
17,59:56.4,Normal
20,59:56.5,Normal
23,59:56.8,Normal
26,59:56.8,Normal
30,59:56.8,Normal
16,59:57.0,Normal
31,59:57.4,Normal
15,59:57.5,Normal
18,59:57.6,Normal
30,59:57.7,Normal
24,59:58.2,Normal
11,59:58.3,Normal
14,59:58.3,Normal
32,59:58.4,Normal
26,59:58.6,Normal
12,59:58.7,Normal
10,59:58.8,Normal
31,59:59.0,Normal
17,59:59.3,Normal
18,59:59.4,Normal
25,59:59.4,Normal
24,59:59.8,Normal
29,59:59.9,Normal
22,59:59.9,Normal
27,00:00.1,Normal
17,00:00.2,Normal
21,00:00.3,Normal
13,00:00.4,Normal
16,00:00.6,Normal
17,00:00.9,Normal
30,00:01.1,Normal
26,00:01.2,Normal
16,00:01.4,Normal
25,00:01.4,Normal
22,00:01.5,Normal
17,00:01.8,Normal
20,00:01.9,Normal
30,00:02.0,Normal
16,00:02.1,Normal
29,00:02.5,Normal
15,00:02.6,Normal
28,00:02.7,Normal
32,00:02.8,Normal
12,00:03.0,Normal
22,00:03.1,Normal
24,00:03.3,Normal
14,00:03.6,Normal
32,00:03.6,Normal
11,00:03.7,Normal
16,00:04.0,Normal
19,00:04.1,Normal
25,00:04.3,Normal
15,00:04.4,Normal
20,00:04.5,Normal
23,00:04.6,Normal
27,00:04.8,Normal
28,00:05.1,Normal
32,00:05.3,Normal
13,00:05.4,Normal
18,00:05.4,Normal
27,00:05.6,Normal
22,00:05.6,Normal
10,00:05.9,Normal
24,00:06.0,Normal
13,00:06.2,Normal
30,00:06.5,Normal
12,00:06.5,Normal
19,00:06.8,Normal
28,00:06.8,Normal
25,00:07.1,Normal
15,00:07.2,Normal
30,00:07.3,Normal
17,00:07.3,Normal
21,00:07.4,Normal
10,00:07.7,Normal
24,00:07.8,Normal
27,00:08.2,Normal
17,00:08.2,Normal
21,00:08.2,Normal
29,00:08.6,Normal
19,00:08.6,Normal
15,00:08.9,Normal
23,00:08.9,Normal
26,00:09.1,Normal
21,00:09.2,Normal
28,00:09.3,Normal
32,00:09.7,Normal
20,00:09.8,Normal
27,00:09.8,Normal
21,00:10.1,Normal
28,00:10.1,Normal
29,00:10.2,Normal
19,00:10.3,Normal
13,00:10.7,Normal
16,00:10.7,Normal
14,00:10.8,Normal
17,00:11.0,Normal
12,00:11.2,Normal
15,00:11.5,Normal
20,00:11.5,Normal
16,00:11.5,Normal
21,00:11.9,Normal
19,00:11.9,Normal
29,00:12.1,Normal
15,00:12.3,Normal
13,00:12.4,Normal
16,00:12.5,Normal
23,00:12.5,Normal
28,00:12.9,Normal
29,00:13.0,Normal
11,00:13.2,Normal
13,00:13.3,Normal
30,00:13.3,Normal
12,00:13.7,Normal
24,00:13.9,Normal
29,00:14.0,Normal
18,00:14.2,Normal
26,00:14.2,Normal
12,00:14.5,Normal
24,00:14.7,Normal
19,00:14.7,Normal
25,00:14.9,Normal
30,00:15.0,Normal
11,00:15.1,Normal
12,00:15.2,Normal
22,00:15.5,Normal
32,00:15.6,Normal
26,00:15.8,Normal
30,00:15.9,Normal
12,00:16.0,Normal
13,00:16.1,Normal
32,00:16.5,Normal
19,00:16.6,Normal
29,00:16.7,Normal
26,00:16.8,Normal
14,00:17.2,Normal
17,00:17.2,Normal
24,00:17.4,Normal
27,00:17.5,Normal
18,00:17.6,Normal
11,00:17.8,Normal
12,00:17.9,Normal
19,00:18.1,Normal
22,00:18.2,Normal
10,00:18.3,Normal
29,00:18.6,Normal
26,00:18.6,Normal
16,00:18.7,Normal
17,00:18.9,Normal
32,00:19.2,Normal
18,00:19.4,Normal
15,00:19.4,Normal
21,00:19.5,Normal
11,00:19.6,Normal
22,00:20.0,Normal
25,00:20.2,Normal
31,00:20.2,Normal
29,00:20.3,Normal
18,00:20.3,Normal
13,00:20.5,Normal
24,00:21.0,Normal
27,00:21.0,Normal
18,00:21.1,Normal
16,00:21.3,Normal
11,00:21.4,Normal
19,00:21.6,Normal
29,00:21.8,Normal
24,00:21.9,Normal
32,00:21.9,Normal
13,00:22.2,Normal
14,00:22.5,Normal
17,00:22.5,Normal
25,00:22.7,Normal
18,00:22.8,Normal
20,00:22.9,Normal
30,00:23.0,Normal
28,00:23.2,Normal
15,00:23.5,Normal
25,00:23.6,Normal
10,00:23.6,Normal
13,00:23.8,Normal
26,00:24.1,Normal
12,00:24.3,Normal
15,00:24.4,Normal
25,00:24.5,Normal
27,00:24.5,Normal
20,00:24.8,Normal
14,00:24.9,Normal
28,00:25.0,Normal
22,00:25.2,Normal
29,00:25.5,Normal
10,00:25.5,Normal
11,00:25.7,Normal
14,00:25.8,Normal
28,00:25.9,Normal
18,00:26.1,Normal
31,00:26.2,Normal
29,00:26.3,Normal
11,00:26.7,Normal
28,00:26.7,Normal
12,00:27.0,Normal
21,00:27.1,Normal
25,00:27.2,Normal
20,00:27.5,Normal
11,00:27.5,Normal
12,00:27.8,Normal
13,00:28.0,Normal
21,00:28.0,Normal
31,00:28.0,Normal
29,00:28.0,Normal
19,00:28.4,Normal
16,00:28.4,Normal
27,00:28.7,Normal
13,00:28.9,Normal
14,00:28.9,Normal
24,00:29.1,Normal
20,00:29.4,Normal
27,00:29.5,Normal
31,00:29.6,Normal
21,00:29.8,Normal
25,00:29.8,Normal
23,00:30.0,Normal
19,00:30.1,Normal
11,00:30.2,Normal
18,00:30.4,Normal
13,00:30.4,Normal
32,00:30.7,Normal
30,00:30.9,Normal
20,00:31.1,Normal
11,00:31.2,Normal
25,00:31.5,Normal
32,00:31.6,Normal
28,00:31.6,Normal
16,00:31.8,Normal
26,00:32.0,Normal
15,00:32.0,Normal
12,00:32.2,Normal
29,00:32.3,Normal
17,00:32.5,Normal
16,00:32.8,Normal
31,00:32.9,Normal
13,00:33.0,Normal
29,00:33.1,Normal
14,00:33.5,Normal
22,00:33.6,Normal
23,00:33.7,Normal
31,00:33.8,Normal
12,00:34.0,Normal
24,00:34.2,Normal
10,00:34.4,Normal
28,00:34.5,Normal
27,00:34.5,Normal
25,00:34.8,Normal
13,00:34.8,Normal
24,00:35.1,Normal
27,00:35.3,Normal
28,00:35.4,Normal
23,00:35.5,Normal
26,00:35.6,Normal
16,00:35.6,Normal
21,00:35.7,Normal
20,00:36.1,Normal
29,00:36.4,Normal
16,00:36.5,Normal
11,00:36.5,Normal
21,00:36.5,Normal
31,00:36.6,Normal
20,00:37.0,Normal
23,00:37.2,Normal
26,00:37.3,Normal
21,00:37.4,Normal
19,00:37.5,Normal
22,00:37.8,Normal
32,00:37.9,Normal
12,00:38.1,Normal
21,00:38.2,Normal
11,00:38.3,Normal
24,00:38.7,Normal
32,00:38.7,Normal
22,00:38.8,Normal
29,00:38.9,Normal
31,00:39.1,Normal
12,00:39.1,Normal
22,00:39.6,Normal
10,00:39.7,Overspeed
14,00:39.8,Normal
29,00:39.9,Normal
31,00:40.0,Normal
11,00:40.1,Normal
16,00:40.2,Normal
24,00:40.6,Normal
12,00:40.7,Normal
14,00:40.7,Normal
26,00:40.8,Normal
19,00:41.0,Normal
30,00:41.4,Normal
14,00:41.6,Normal
28,00:41.6,Normal
18,00:41.7,Normal
15,00:41.7,Normal
17,00:42.1,Normal
10,00:42.3,Normal
30,00:42.4,Normal
26,00:42.5,Normal
